week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
8/28/2021,8/21/2021,04000US19,Iowa,1751,13501,0,0,1.63012E+12,"August 28th, 2021",04000US19,Iowa
8/28/2021,8/21/2021,04000US21,Kentucky,1690,13169,0,0,1.63012E+12,"August 28th, 2021",04000US21,Kentucky
8/28/2021,8/21/2021,04000US22,Louisiana,1712,33132,0,0,1.63012E+12,"August 28th, 2021",04000US22,Louisiana
8/28/2021,8/21/2021,04000US28,Mississippi,1761,12245,0,0,1.63012E+12,"August 28th, 2021",04000US28,Mississippi
8/28/2021,8/21/2021,04000US44,Rhode Island,1884,13057,0,0,1.63012E+12,"August 28th, 2021",04000US44,Rhode Island
8/21/2021,8/14/2021,04000US19,Iowa,1677,14928,0,0,1.62952E+12,"August 21st, 2021",04000US19,Iowa
8/21/2021,8/14/2021,04000US21,Kentucky,1828,14877,0,0,1.62952E+12,"August 21st, 2021",04000US21,Kentucky
8/21/2021,8/14/2021,04000US22,Louisiana,2217,37315,0,0,1.62952E+12,"August 21st, 2021",04000US22,Louisiana
8/21/2021,8/14/2021,04000US28,Mississippi,2170,14817,0,0,1.62952E+12,"August 21st, 2021",04000US28,Mississippi
8/21/2021,8/14/2021,04000US44,Rhode Island,1834,13363,0,0,1.62952E+12,"August 21st, 2021",04000US44,Rhode Island
8/14/2021,8/7/2021,04000US19,Iowa,1614,16230,1457880,1.11,1.62891E+12,"August 14th, 2021",04000US19,Iowa
8/14/2021,8/7/2021,04000US21,Kentucky,1770,17013,1814775,0.94,1.62891E+12,"August 14th, 2021",04000US21,Kentucky
8/14/2021,8/7/2021,04000US22,Louisiana,2332,40433,1746855,2.31,1.62891E+12,"August 14th, 2021",04000US22,Louisiana
8/14/2021,8/7/2021,04000US28,Mississippi,2283,16574,1063853,1.56,1.62891E+12,"August 14th, 2021",04000US28,Mississippi
8/14/2021,8/7/2021,04000US44,Rhode Island,3062,13022,433198,3.01,1.62891E+12,"August 14th, 2021",04000US44,Rhode Island
8/7/2021,7/31/2021,04000US19,Iowa,2149,16433,1457880,1.13,1.62831E+12,"August 7th, 2021",04000US19,Iowa
8/7/2021,7/31/2021,04000US21,Kentucky,4006,16351,1814775,0.9,1.62831E+12,"August 7th, 2021",04000US21,Kentucky
8/7/2021,7/31/2021,04000US22,Louisiana,2411,43992,1746855,2.52,1.62831E+12,"August 7th, 2021",04000US22,Louisiana
8/7/2021,7/31/2021,04000US28,Mississippi,2278,18019,1063853,1.69,1.62831E+12,"August 7th, 2021",04000US28,Mississippi
8/7/2021,7/31/2021,04000US44,Rhode Island,3070,13642,433198,3.15,1.62831E+12,"August 7th, 2021",04000US44,Rhode Island
7/31/2021,7/24/2021,04000US19,Iowa,1884,16787,1457880,1.15,1.6277E+12,"July 31st, 2021",04000US19,Iowa
7/31/2021,7/24/2021,04000US21,Kentucky,4036,18044,1814775,0.99,1.6277E+12,"July 31st, 2021",04000US21,Kentucky
7/31/2021,7/24/2021,04000US22,Louisiana,3228,47230,1746855,2.7,1.6277E+12,"July 31st, 2021",04000US22,Louisiana
7/31/2021,7/24/2021,04000US28,Mississippi,2371,19536,1063853,1.84,1.6277E+12,"July 31st, 2021",04000US28,Mississippi
7/31/2021,7/24/2021,04000US44,Rhode Island,3589,13812,433198,3.19,1.6277E+12,"July 31st, 2021",04000US44,Rhode Island
7/24/2021,7/17/2021,04000US19,Iowa,1543,17639,1457880,1.21,1.6271E+12,"July 24th, 2021",04000US19,Iowa
7/24/2021,7/17/2021,04000US21,Kentucky,4225,23859,1814775,1.31,1.6271E+12,"July 24th, 2021",04000US21,Kentucky
7/24/2021,7/17/2021,04000US22,Louisiana,3122,44996,1746855,2.58,1.6271E+12,"July 24th, 2021",04000US22,Louisiana
