Label (Grouping),"Ames city, Iowa!!Total population!!Number","Ames city, Iowa!!Total population!!Percent","Ames city, Iowa!!White alone!!Number","Ames city, Iowa!!White alone!!Percent","Ames city, Iowa!!White alone or in combination with one or more other races!!Number","Ames city, Iowa!!White alone or in combination with one or more other races!!Percent","Ames city, Iowa!!Welsh (097)!!Number","Ames city, Iowa!!Welsh (097)!!Percent","Ames city, Iowa!!Black or African American alone!!Number","Ames city, Iowa!!Black or African American alone!!Percent","Ames city, Iowa!!Black or African American alone or in combination with one or more other races!!Number","Ames city, Iowa!!Black or African American alone or in combination with one or more other races!!Percent","Ames city, Iowa!!American Indian and Alaska Native alone or in combination with one or more other races (300, A01-Z99) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!American Indian and Alaska Native alone or in combination with one or more other races (300, A01-Z99) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Two or more races!!Number","Ames city, Iowa!!Two or more races!!Percent","Ames city, Iowa!!American Indian alone or in any combination!!Number","Ames city, Iowa!!American Indian alone or in any combination!!Percent","Ames city, Iowa!!Asian alone (400-499)!!Number","Ames city, Iowa!!Asian alone (400-499)!!Percent","Ames city, Iowa!!Asian Indian alone (400-401)!!Number","Ames city, Iowa!!Asian Indian alone (400-401)!!Percent","Ames city, Iowa!!Chinese alone (410-419)!!Number","Ames city, Iowa!!Chinese alone (410-419)!!Percent","Ames city, Iowa!!Chinese (except Taiwanese) alone (410-411)!!Number","Ames city, Iowa!!Chinese (except Taiwanese) alone (410-411)!!Percent","Ames city, Iowa!!Korean alone (440-441)!!Number","Ames city, Iowa!!Korean alone (440-441)!!Percent","Ames city, Iowa!!Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Asian Indian alone or in any combination (400-401) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!Asian Indian alone or in any combination (400-401) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Chinese alone or in any combination (410-419) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!Chinese alone or in any combination (410-419) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Chinese (except Taiwanese) alone or in any combination (410-411) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!Chinese (except Taiwanese) alone or in any combination (410-411) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)!!Number","Ames city, Iowa!!Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)!!Percent","Ames city, Iowa!!Some other race alone!!Number","Ames city, Iowa!!Some other race alone!!Percent","Ames city, Iowa!!Some other race alone or in combination with one or more other races!!Number","Ames city, Iowa!!Some other race alone or in combination with one or more other races!!Percent","Ames city, Iowa!!Two or more races excluding Some other race, and three or more races!!Number","Ames city, Iowa!!Two or more races excluding Some other race, and three or more races!!Percent","Ames city, Iowa!!Two races without Some Other Race!!Number","Ames city, Iowa!!Two races without Some Other Race!!Percent","Ames city, Iowa!!Hispanic or Latino (of any race) (200-299)!!Number","Ames city, Iowa!!Hispanic or Latino (of any race) (200-299)!!Percent","Ames city, Iowa!!Mexican (210-220)!!Number","Ames city, Iowa!!Mexican (210-220)!!Percent","Ames city, Iowa!!Other Hispanic or Latino (200-209, 221-259, 275-299)!!Number","Ames city, Iowa!!Other Hispanic or Latino (200-209, 221-259, 275-299)!!Percent","Ames city, Iowa!!Not Hispanic or Latino!!Number","Ames city, Iowa!!Not Hispanic or Latino!!Percent","Ames city, Iowa!!White alone, not Hispanic or Latino!!Number","Ames city, Iowa!!White alone, not Hispanic or Latino!!Percent","Ames city, Iowa!!White alone or in combination with one or more other races, not Hispanic or Latino!!Number","Ames city, Iowa!!White alone or in combination with one or more other races, not Hispanic or Latino!!Percent","Ames city, Iowa!!Black or African American alone, not Hispanic or Latino!!Number","Ames city, Iowa!!Black or African American alone, not Hispanic or Latino!!Percent","Ames city, Iowa!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Number","Ames city, Iowa!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Percent","Ames city, Iowa!!Asian alone, not Hispanic or Latino!!Number","Ames city, Iowa!!Asian alone, not Hispanic or Latino!!Percent","Ames city, Iowa!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Number","Ames city, Iowa!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Percent","Ames city, Iowa!!Two or more races, not Hispanic or Latino!!Number","Ames city, Iowa!!Two or more races, not Hispanic or Latino!!Percent","Ames city, Iowa!!Arab (All groups [400-415,417-418,421-430,435-481,490-499])!!Number","Ames city, Iowa!!Arab (All groups [400-415,417-418,421-430,435-481,490-499])!!Percent","Ames city, Iowa!!British (011-014)!!Number","Ames city, Iowa!!British (011-014)!!Percent","Ames city, Iowa!!Czech (111-113)!!Number","Ames city, Iowa!!Czech (111-113)!!Percent","Ames city, Iowa!!Danish (020, 023)!!Number","Ames city, Iowa!!Danish (020, 023)!!Percent","Ames city, Iowa!!Dutch (021, 029)!!Number","Ames city, Iowa!!Dutch (021, 029)!!Percent","Ames city, Iowa!!English (015, 022)!!Number","Ames city, Iowa!!English (015, 022)!!Percent","Ames city, Iowa!!European (195)!!Number","Ames city, Iowa!!European (195)!!Percent","Ames city, Iowa!!French (except Basque) (016, 026-028, 083)!!Number","Ames city, Iowa!!French (except Basque) (016, 026-028, 083)!!Percent","Ames city, Iowa!!German (032-045)!!Number","Ames city, Iowa!!German (032-045)!!Percent","Ames city, Iowa!!Irish (050, 081)!!Number","Ames city, Iowa!!Irish (050, 081)!!Percent","Ames city, Iowa!!Italian (030-031, 051-074)!!Number","Ames city, Iowa!!Italian (030-031, 051-074)!!Percent","Ames city, Iowa!!Norwegian (082)!!Number","Ames city, Iowa!!Norwegian (082)!!Percent","Ames city, Iowa!!Polish (142-143)!!Number","Ames city, Iowa!!Polish (142-143)!!Percent","Ames city, Iowa!!Scotch-Irish (087)!!Number","Ames city, Iowa!!Scotch-Irish (087)!!Percent","Ames city, Iowa!!Scottish (088)!!Number","Ames city, Iowa!!Scottish (088)!!Percent","Ames city, Iowa!!Subsaharan African (All groups [500-599])!!Number","Ames city, Iowa!!Subsaharan African (All groups [500-599])!!Percent","Ames city, Iowa!!Swedish (089-090)!!Number","Ames city, Iowa!!Swedish (089-090)!!Percent","Ames city, Iowa!!American (939-994)!!Number","Ames city, Iowa!!American (939-994)!!Percent"
Total population,"50,656",100,"44,206",100,"44,825",100,342,100,"1,370",100,"1,611",100,390,100,837,100,390,100,"3,471",100,660,100,"1,302",100,"1,137",100,732,100,"3,727",100,675,100,"1,333",100,"1,168",100,735,100,587,100,892,100,537,100,503,100,"1,116",100,575,100,418,100,"49,540",100,"43,711",100,"44,225",100,"1,340",100,"1,558",100,"3,467",100,"3,701",100,687,100,288,100,385,100,774,100,"1,076",100,"1,683",100,"5,180",100,703,100,"1,044",100,"16,961",100,"5,793",100,"1,072",100,"4,365",100,"1,065",100,612,100,"1,207",100,638,100,"2,096",100,"1,573",100
    SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"26,503",52.3,"22,953",51.9,"23,256",51.9,214,62.6,740,54,855,53.1,201,51.5,437,52.2,201,51.5,"1,923",55.4,449,68,716,55,624,54.9,371,50.7,"2,070",55.5,464,68.7,739,55.4,647,55.4,374,50.9,348,59.3,528,59.2,257,47.9,235,46.7,710,63.6,426,74.1,233,55.7,"25,793",52.1,"22,601",51.7,"22,847",51.7,728,54.3,837,53.7,"1,919",55.4,"2,055",55.5,363,52.8,164,56.9,131,34,358,46.3,597,55.5,947,56.3,"2,589",50,384,54.6,466,44.6,"8,870",52.3,"2,846",49.1,572,53.4,"1,961",44.9,616,57.8,268,43.8,689,57.1,389,61,"1,047",50,803,51
        Female,"24,153",47.7,"21,253",48.1,"21,569",48.1,128,37.4,630,46,756,46.9,189,48.5,400,47.8,189,48.5,"1,548",44.6,211,32,586,45,513,45.1,361,49.3,"1,657",44.5,211,31.3,594,44.6,521,44.6,361,49.1,239,40.7,364,40.8,280,52.1,268,53.3,406,36.4,149,25.9,185,44.3,"23,747",47.9,"21,110",48.3,"21,378",48.3,612,45.7,721,46.3,"1,548",44.6,"1,646",44.5,324,47.2,124,43.1,254,66,416,53.7,479,44.5,736,43.7,"2,591",50,319,45.4,578,55.4,"8,091",47.7,"2,947",50.9,500,46.6,"2,404",55.1,449,42.2,344,56.2,518,42.9,249,39,"1,049",50,770,49
        Under 5 years,"2,269",4.5,"1,728",3.9,"1,850",4.1,3,0.9,106,7.7,177,11,20,5.1,162,19.4,20,5.1,182,5.2,28,4.2,52,4,52,4.6,73,10,250,6.7,28,4.1,52,3.9,52,4.5,73,9.9,79,13.5,129,14.5,112,20.9,112,22.3,118,10.6,52,9,58,13.9,"2,151",4.3,"1,695",3.9,"1,799",4.1,100,7.5,158,10.1,182,5.2,250,6.8,131,19.1,28,9.7,32,8.3,27,3.5,6,0.6,37,2.2,193,3.7,58,8.3,14,1.3,789,4.7,228,3.9,41,3.8,248,5.7,87,8.2,13,2.1,74,6.1,69,10.8,82,3.9,128,8.1
        5 to 9 years,"1,926",3.8,"1,611",3.6,"1,646",3.7,14,4.1,81,5.9,97,6,13,3.3,42,5,13,3.3,171,4.9,24,3.6,41,3.1,17,1.5,83,11.3,192,5.2,24,3.6,41,3.1,17,1.5,83,11.3,15,2.6,15,1.7,42,7.8,42,8.3,23,2.1,13,2.3,0,0,"1,903",3.8,"1,603",3.7,"1,638",3.7,81,6,97,6.2,171,4.9,192,5.2,42,6.1,12,4.2,18,4.7,40,5.2,40,3.7,30,1.8,222,4.3,75,10.7,20,1.9,603,3.6,198,3.4,21,2,245,5.6,54,5.1,0,0,27,2.2,44,6.9,94,4.5,150,9.5
        10 to 14 years,"1,936",3.8,"1,642",3.7,"1,670",3.7,8,2.3,88,6.4,121,7.5,10,2.6,45,5.4,10,2.6,102,2.9,31,4.7,24,1.8,13,1.1,37,5.1,114,3.1,31,4.6,24,1.8,13,1.1,37,5,56,9.5,73,8.2,28,5.2,21,4.2,54,4.8,27,4.7,17,4.1,"1,882",3.8,"1,618",3.7,"1,646",3.7,88,6.6,121,7.8,102,2.9,114,3.1,45,6.6,17,5.9,32,8.3,40,5.2,37,3.4,55,3.3,253,4.9,39,5.5,32,3.1,573,3.4,262,4.5,14,1.3,171,3.9,47,4.4,18,2.9,55,4.6,62,9.7,64,3.1,140,8.9
        15 to 19 years,"6,908",13.6,"6,124",13.9,"6,226",13.9,45,13.2,234,17.1,276,17.1,67,17.2,147,17.6,67,17.2,286,8.2,68,10.3,47,3.6,47,4.1,33,4.5,313,8.4,68,10.1,65,4.9,65,5.6,33,4.5,93,15.8,164,18.4,76,14.2,76,15.1,138,12.4,79,13.7,42,10,"6,770",13.7,"6,073",13.9,"6,150",13.9,234,17.5,276,17.7,286,8.2,313,8.5,122,17.8,61,21.2,22,5.7,179,23.1,154,14.3,296,17.6,609,11.8,93,13.2,113,10.8,"2,529",14.9,963,16.6,183,17.1,514,11.8,187,17.6,63,10.3,145,12,94,14.7,300,14.3,230,14.6
        20 to 24 years,"14,685",29,"13,170",29.8,"13,293",29.7,74,21.6,337,24.6,370,23,55,14.1,167,20,55,14.1,835,24.1,201,30.5,277,21.3,257,22.6,124,16.9,893,24,209,31,284,21.3,264,22.6,124,16.9,133,22.7,231,25.9,74,13.8,62,12.3,238,21.3,134,23.3,75,17.9,"14,447",29.2,"13,045",29.8,"13,143",29.7,332,24.8,355,22.8,835,24.1,893,24.1,142,20.7,19,6.6,63,16.4,201,26,226,21,602,35.8,886,17.1,234,33.3,303,29,"5,467",32.2,"1,780",30.7,489,45.6,"1,045",23.9,352,33.1,82,13.4,154,12.8,122,19.1,536,25.6,267,17
        25 to 34 years,"7,180",14.2,"5,385",12.2,"5,503",12.3,20,5.8,285,20.8,315,19.6,81,20.8,138,16.5,81,20.8,"1,219",35.1,132,20,646,49.6,621,54.6,250,34.2,"1,256",33.7,135,20,652,48.9,627,53.7,253,34.4,95,16.2,152,17,81,15.1,70,13.9,261,23.4,155,27,73,17.5,"6,919",14,"5,292",12.1,"5,378",12.2,266,19.9,296,19,"1,215",35,"1,252",33.8,106,15.4,89,30.9,49,12.7,78,10.1,101,9.4,225,13.4,499,9.6,107,15.2,178,17,"2,160",12.7,615,10.6,102,9.5,478,11,132,12.4,61,10,139,11.5,125,19.6,267,12.7,187,11.9
